Secteur,Ville,Boite de vitesses,Type de carburant,Marque,Modele,Nombre de portes,Origine,Premiere main,Puissance fiscale,Etat,log_price (en milliers MAD),Kilometrage lisse (en milliers km),Age (annees)
aïn chock,casablanca,Manuelle,Diesel,dacia,logan,5,WW au Maroc,True,6,Très bon,4.04305126783455,227.12794029908594,18
toute la ville,el kelâa des sraghna,Manuelle,Diesel,dacia,dokker,5,WW au Maroc,True,6,Excellent,4.74493212836325,9.040198435809323,9
toute la ville,martil,Manuelle,Diesel,dacia,sandero,5,WW au Maroc,False,6,Excellent,4.867534450455582,95.97261183681542,5
zitoune,meknès,Automatique,Diesel,hyundai,tucson,5,WW au Maroc,True,7,Très bon,5.598421958998375,89.75795518571836,3
guéliz,marrakech,Automatique,Essence,fiat,500,3,Dédouanée,True,4,Excellent,5.043425116919247,70.17468190422586,7
Others,agadir,Manuelle,Diesel,toyota,Others,5,WW au Maroc,True,8,Bon,3.970291913552122,37.33360174862234,22
hay hassani,casablanca,Manuelle,Diesel,nissan,Others,5,WW au Maroc,True,9,Bon,3.6888794541139363,224.4852612687122,23
centre ville,tanger,Automatique,Diesel,volkswagen,golf 7,5,WW au Maroc,False,8,Excellent,5.204006687076795,117.8824347016907,6
guéliz,marrakech,Automatique,Diesel,mercedes-benz,classe c,5,Dédouanée,True,9,Excellent,5.579729825986222,194.46260918046647,9
massira 2,marrakech,Manuelle,Diesel,nissan,qashqai,5,Importée neuve,True,6,Bon,5.10594547390058,170.92064938576917,9
toute la ville,khénifra,Automatique,Diesel,ssangyong,korando,5,WW au Maroc,True,8,Bon,4.5217885770490405,194.88702890940604,13
maarif,casablanca,Manuelle,Diesel,fiat,Others,5,Importée neuve,True,8,Bon,4.07753744390572,195.98660791496033,16
hamria,meknès,Automatique,Diesel,porsche,cayenne,5,Dédouanée,False,12,Très bon,5.652489180268651,23.41213893303995,13
centre,tanger,Manuelle,Diesel,ford,focus,5,WW au Maroc,False,7,Très bon,4.343805421853684,225.00306047001433,18
Others,tanger,Manuelle,Diesel,toyota,hilux,3,WW au Maroc,False,10,Excellent,5.438079308923196,5.8832945216314485,4
beauséjour,casablanca,Manuelle,Diesel,nissan,qashqai,5,WW au Maroc,False,6,Bon,4.8283137373023015,35.049056200784605,13
maarif,casablanca,Manuelle,Diesel,dacia,dokker,5,WW au Maroc,True,6,Excellent,4.574710978503383,161.83385072728072,12
toute la ville,bejaad,Manuelle,Diesel,citroen,c4,5,WW au Maroc,True,6,Très bon,4.700480365792417,137.8637420408041,9
ain sebaa,casablanca,Automatique,Diesel,ford,kuga,5,WW au Maroc,True,6,Très bon,5.641907070938114,12.449026616906295,4
hay salam,salé,Manuelle,Essence,daihatsu,Others,5,WW au Maroc,False,9,Très bon,4.0943445622221,173.21875780549755,17
hay chmaou,salé,Manuelle,Diesel,volkswagen,polo,5,WW au Maroc,False,8,Bon,3.828641396489095,276.1374411714996,22
hay lazaret,oujda,Manuelle,Essence,dacia,logan,5,WW au Maroc,False,7,Excellent,4.007333185232471,225.1223650068209,16
ahlane,tanger,Manuelle,Diesel,ford,focus,5,WW au Maroc,True,7,Bon,4.31748811353631,273.5081347768222,17
oulfa,casablanca,Manuelle,Essence,ford,fiesta,5,WW au Maroc,False,7,Très bon,4.442651256490317,96.05124102412681,13
toute la ville,khénifra,Manuelle,Diesel,fiat,siena,5,WW au Maroc,True,7,Bon,2.995732273553991,429.1980672490012,27
anza,agadir,Manuelle,Essence,volkswagen,polo,5,WW au Maroc,True,8,Très bon,3.912023005428146,274.9328525000117,17
anza,agadir,Manuelle,Essence,volkswagen,polo,5,WW au Maroc,True,8,Très bon,3.912023005428146,194.0748235243957,20
agdal,rabat,Manuelle,Diesel,fiat,doblo,5,WW au Maroc,False,5,Très bon,4.8283137373023015,168.0854773330666,4
autre secteur,kénitra,Manuelle,Diesel,ford,kuga,5,WW au Maroc,True,7,Excellent,5.267858159063328,144.7473264601976,6
toute la ville,had soualem,Automatique,Diesel,kia,sportage,5,WW au Maroc,True,8,Très bon,4.983606621708336,153.36752100033826,9
Others,el jadida,Manuelle,Diesel,dacia,sandero,5,WW au Maroc,True,6,Excellent,4.770684624465665,106.09043879301696,7
Others,marrakech,Manuelle,Diesel,renault,clio,5,WW au Maroc,True,6,Excellent,4.852030263919617,118.34580925336154,4
hay mohammadi,casablanca,Manuelle,Diesel,dacia,duster,5,WW au Maroc,True,6,Excellent,4.795790545596741,128.12930172061672,9
toute la ville,guelmim,Manuelle,Essence,suzuki,Others,3,WW au Maroc,True,7,Très bon,4.0943445622221,182.7347362398126,25
Others,fès,Manuelle,Essence,fiat,siena,5,WW au Maroc,True,7,Très bon,3.295836866004329,24.957286063829997,27
toute la ville,larache,Automatique,Diesel,mercedes-benz,220,5,Dédouanée,True,9,Excellent,4.997212273764115,221.83191509596412,16
toute la ville,ait melloul,Manuelle,Essence,dacia,logan,5,WW au Maroc,False,6,Bon,3.828641396489095,270.34755026924284,19
toute la ville,settat,Automatique,Diesel,volkswagen,tiguan,5,Dédouanée,False,8,Excellent,5.3471075307174685,220.58783288436433,10
toute la ville,Others,Manuelle,Diesel,nissan,qashqai,5,Dédouanée,True,6,Très bon,5.19295685089021,192.53004742657768,10
m'hamid,marrakech,Manuelle,Diesel,ford,focus,5,WW au Maroc,False,7,Très bon,4.454347296253507,229.5140310998714,15
centre,tanger,Manuelle,Essence,peugeot,207,5,Dédouanée,True,8,Excellent,4.499809670330265,71.36281006779197,14
agdal,rabat,Manuelle,Diesel,peugeot,208,5,WW au Maroc,True,6,Excellent,5.062595033026967,51.62266368624807,2
agdal,fès,Automatique,Essence,kia,picanto,5,WW au Maroc,False,6,Excellent,5.0238805208462765,26.16711028637591,1
ahlane,tanger,Automatique,Diesel,volkswagen,golf 6,5,Dédouanée,True,6,Excellent,4.820281565605037,182.8300464516408,13
sidi bernoussi,casablanca,Automatique,Diesel,mercedes-benz,classe a,5,WW au Maroc,True,7,Excellent,5.147494476813453,221.81296220426017,12
centre ville,tanger,Manuelle,Diesel,volkswagen,polo,5,WW au Maroc,True,8,Très bon,3.970291913552122,322.7523053422012,22
drissia,tanger,Automatique,Diesel,audi,a3,5,Dédouanée,False,8,Excellent,5.438079308923196,229.11850853026647,9
californie,casablanca,Automatique,Essence,fiat,500,3,WW au Maroc,True,7,Excellent,4.700480365792417,94.02421540119751,9
toute la ville,khemisset,Manuelle,Essence,peugeot,206,5,WW au Maroc,False,8,Excellent,3.58351893845611,18.083059643556094,26
Others,oujda,Manuelle,Diesel,citroen,berlingo,5,WW au Maroc,True,6,Excellent,5.0106352940962555,148.37156769357006,6
autre secteur,meknès,Manuelle,Diesel,dacia,duster,5,WW au Maroc,True,6,Excellent,4.941642422609304,104.86264390038335,7
ben m'sick,casablanca,Manuelle,Diesel,renault,clio,5,WW au Maroc,False,6,Excellent,4.812184355372417,92.54822020006063,5
centre ville,mohammedia,Manuelle,Diesel,volkswagen,polo,5,WW au Maroc,False,6,Excellent,4.605170185988092,221.74158107932936,11
toute la ville,tit mellil,Manuelle,Essence,ford,fiesta,5,WW au Maroc,True,8,Très bon,4.406719247264253,88.86438569462182,11
al aroui,nador,Automatique,Diesel,volkswagen,tiguan,5,Dédouanée,True,10,Excellent,5.736572297479192,167.75411712291665,6
centre ville,agadir,Automatique,Diesel,audi,q5,5,Dédouanée,True,8,Excellent,5.703782474656201,223.27246180648845,9
hay hassani,casablanca,Manuelle,Diesel,peugeot,208,5,WW au Maroc,False,6,Excellent,4.90527477843843,37.993681423670594,5
al qods,mohammedia,Manuelle,Diesel,kia,ceed,5,WW au Maroc,False,6,Correct,4.174387269895637,224.8291469429296,16
aïn chock,casablanca,Manuelle,Diesel,alfa romeo,giulietta,5,WW au Maroc,True,8,Très bon,4.787491742782046,220.57795086451682,10
autre secteur,agadir,Manuelle,Diesel,renault,Others,5,Dédouanée,False,6,Excellent,5.1647859739235145,18.817899125829868,8
afaq,marrakech,Manuelle,Diesel,volkswagen,polo,5,WW au Maroc,True,5,Très bon,4.584967478670572,226.2900220235525,12
agdal,fès,Automatique,Diesel,volkswagen,touran,5,Dédouanée,True,6,Très bon,5.3706380281276624,224.69786197694845,9
sidi youssef ben ali,marrakech,Automatique,Essence,honda,cr-v,5,WW au Maroc,False,11,Très bon,4.174387269895637,101.41018861908002,24
maarif,casablanca,Automatique,Diesel,audi,Others,5,WW au Maroc,True,12,Très bon,5.579729825986222,130.89247908614377,9
hay el fath,rabat,Manuelle,Diesel,hyundai,accent,5,WW au Maroc,False,6,Excellent,4.976733742420574,87.1634758337485,4
guéliz,marrakech,Manuelle,Diesel,opel,insignia,5,WW au Maroc,True,8,Excellent,4.553876891600541,112.40617470144119,15
toute la ville,dar bouazza,Manuelle,Diesel,land rover,defender,3,Dédouanée,True,10,Très bon,5.153291594497779,277.03612164626816,26
al wifaq,agadir,Manuelle,Diesel,hyundai,santa fe,5,WW au Maroc,True,9,Excellent,4.74493212836325,177.58840317144387,14
toute la ville,khénifra,Automatique,Diesel,ssangyong,korando,5,WW au Maroc,True,8,Bon,4.543294782270004,193.89579954141075,13
Others,tanger,Manuelle,Diesel,mitsubishi,l200,3,WW au Maroc,True,10,Très bon,4.74493212836325,173.89778497620344,13
ville verte,bouskoura,Automatique,Diesel,alfa romeo,giulietta,5,WW au Maroc,True,6,Bon,5.010628627407367,80.20955092935188,7
Others,bouskoura,Manuelle,Diesel,ford,fiesta,5,WW au Maroc,False,7,Bon,4.820281565605037,74.83079670496375,7
al wifaq,agadir,Manuelle,Diesel,renault,clio,5,WW au Maroc,True,6,Très bon,4.653960350157523,177.35845959050195,9
hay mohammadi,casablanca,Manuelle,Diesel,peugeot,partner,5,WW au Maroc,True,7,Très bon,3.970291913552122,273.8444394924403,18
zitoune,meknès,Automatique,Diesel,hyundai,tucson,5,WW au Maroc,True,6,Très bon,5.598421958998375,92.08868221634093,3
hay lazaret,oujda,Automatique,Hybride,toyota,corolla,5,WW au Maroc,False,6,Excellent,5.181783550292085,114.92888100312902,4
route jerada,oujda,Manuelle,Essence,renault,clio,5,WW au Maroc,False,7,Très bon,4.248495242049359,160.43473926809605,14
hay essalam,el jadida,Automatique,Diesel,volkswagen,golf 7,5,Dédouanée,True,5,Excellent,5.703782474656201,19.349619123079968,7
autre secteur,temara,Manuelle,Essence,toyota,yaris,5,WW au Maroc,True,7,Bon,3.2188758248682006,276.9258111641482,26
centre,el jadida,Manuelle,Diesel,hyundai,tucson,5,WW au Maroc,False,7,Excellent,5.2574953720277815,123.90442851418605,7
casablanca finance city,casablanca,Automatique,Diesel,jeep,renegade,5,WW au Maroc,False,8,Excellent,5.10594547390058,121.7786079489796,8
toute la ville,ouarzazate,Manuelle,Diesel,renault,megane,5,WW au Maroc,True,7,Très bon,3.970291913552122,324.7486536784543,23
abattoirs,agadir,Manuelle,Diesel,volvo,s60,5,Importée neuve,True,10,Excellent,4.0943445622221,225.39406239464873,18
toute la ville,berkane,Manuelle,Diesel,mercedes-benz,220,5,Dédouanée,False,11,Excellent,4.0943445622221,42.79774918021806,25
toute la ville,missour,Manuelle,Diesel,nissan,qashqai,5,WW au Maroc,False,6,Excellent,5.247024072160486,198.13252371658083,6
Others,marrakech,Manuelle,Essence,fiat,uno,5,Dédouanée,True,6,Très bon,3.1354942159291497,139.51843729884746,29
centre ville,nador,Automatique,Diesel,hyundai,santa fe,5,Dédouanée,True,9,Très bon,4.499809670330265,225.64149054470468,16
toute la ville,al hoceima,Manuelle,Diesel,volkswagen,passat,5,Dédouanée,True,6,Très bon,4.90527477843843,227.11602393638032,14
guéliz,marrakech,Manuelle,Diesel,renault,kadjar,5,WW au Maroc,True,6,Très bon,5.087596335232384,374.23903562922925,9
toute la ville,settat,Manuelle,Diesel,peugeot,309,5,Dédouanée,True,8,Excellent,3.1354942159291497,48.99093769118068,31
toute la ville,sidi kacem,Manuelle,Diesel,hyundai,ix35,5,Dédouanée,True,7,Bon,5.10594547390058,223.5312801669851,13
autre secteur,mohammedia,Manuelle,Essence,fiat,Others,5,WW au Maroc,True,9,Bon,2.995732273553991,15.358801223586166,25
toute la ville,khemisset,Manuelle,Diesel,dacia,duster,5,WW au Maroc,False,6,Très bon,4.787491742782046,160.6811639816078,12
hay mohammadi,casablanca,Manuelle,Essence,dfsk,Others,5,WW au Maroc,True,6,Neuf,4.189654742026425,86.86321657706556,6
Others,taroudant,Manuelle,Essence,hyundai,i10,5,Dédouanée,True,6,Excellent,4.174387269895637,21.53713842228057,10
achakar,tanger,Automatique,Diesel,mini,cooper,3,WW au Maroc,True,9,Très bon,4.442651256490317,228.06454049392528,16
toute la ville,Others,Manuelle,Diesel,renault,express,5,WW au Maroc,False,7,Excellent,3.332204510175204,26.261469451727024,26
c.i.l,casablanca,Manuelle,Diesel,volkswagen,golf 5,5,Dédouanée,True,8,Neuf,4.30406509320417,271.90681742959976,19
errahma,casablanca,Automatique,Diesel,skoda,octavia,5,WW au Maroc,True,8,Excellent,5.1647859739235145,273.83673214788746,8
oulfa,casablanca,Automatique,Diesel,hyundai,tucson,5,WW au Maroc,True,6,Excellent,5.501258210544727,91.77973178023453,7
toute la ville,ben guerir,Manuelle,Diesel,renault,fluence,5,Dédouanée,False,6,Excellent,4.852030263919617,11.766882168012465,13
Others,casablanca,Manuelle,Diesel,renault,Others,5,WW au Maroc,False,5,Très bon,4.007333185232471,6.619293289139904,13
autre secteur,agadir,Manuelle,Essence,peugeot,306,5,WW au Maroc,True,8,Excellent,3.4965075614664802,37.41653031268996,23
toute la ville,Others,Manuelle,Essence,peugeot,405,5,WW au Maroc,True,8,Excellent,3.091042453358316,8.947743090739387,32
Others,kénitra,Manuelle,Diesel,toyota,starlet,5,WW au Maroc,True,7,Très bon,3.367295829986474,279.79001601917696,25
Others,marrakech,Automatique,Essence,nissan,Others,5,Dédouanée,False,20,Très bon,4.02535169073515,94.30171748964739,15
autre secteur,agadir,Manuelle,Essence,peugeot,306,5,WW au Maroc,True,8,Excellent,3.4965075614664802,16.072172227214512,23
ancienne médina,marrakech,Manuelle,Diesel,ford,c-max,5,WW au Maroc,True,6,Excellent,4.820281565605037,221.48230106512065,11
centre,kénitra,Manuelle,Diesel,seat,leon,5,WW au Maroc,True,8,Très bon,4.499809670330265,325.4487985538301,14
Others,nador,Manuelle,Diesel,mercedes-benz,220,5,Dédouanée,False,8,Très bon,4.442651256490317,424.35771135093916,26
Others,tanger,Manuelle,Diesel,dacia,sandero,5,WW au Maroc,True,6,Excellent,4.624972813284271,135.71939219216128,9
toute la ville,khouribga,Manuelle,Diesel,mercedes-benz,classe a,5,WW au Maroc,True,6,Très bon,5.0106352940962555,195.39732026632498,10
toute la ville,sidi slimane,Manuelle,Diesel,volkswagen,passat,5,Dédouanée,True,8,Excellent,4.499809670330265,273.70706887661413,17
autre secteur,agadir,Manuelle,Essence,isuzu,Others,3,WW au Maroc,True,9,Excellent,4.499809670330265,65.81895126257962,22
autre secteur,kénitra,Manuelle,Diesel,toyota,corolla verso,5,WW au Maroc,True,8,Très bon,4.382026634673881,270.46739367151974,20
bourgogne,casablanca,Automatique,Diesel,hyundai,accent,5,WW au Maroc,False,6,Excellent,5.043425116919247,105.3615074232038,3
maarif,casablanca,Manuelle,Diesel,citroen,c5,5,WW au Maroc,True,8,Bon,4.219507705176107,221.98599349137086,14
ain atig,temara,Manuelle,Diesel,ssangyong,kyron,5,WW au Maroc,True,8,Très bon,4.007333185232471,199.85604263926155,19
anfa,casablanca,Automatique,Diesel,jaguar,xf,5,WW au Maroc,False,8,Excellent,5.634789603169249,83.6003331945588,6
agdal,fès,Manuelle,Diesel,nissan,qashqai,5,WW au Maroc,False,6,Excellent,5.147494476813453,160.28887584519794,9
toute la ville,ben ahmed,Manuelle,Diesel,hyundai,tucson,5,WW au Maroc,False,6,Très bon,5.5909869805108565,119.1449643272771,4
toute la ville,ouarzazate,Manuelle,Essence,hyundai,elantra,5,Dédouanée,False,8,Bon,3.2188758248682006,276.9878394483679,25
toute la ville,khouribga,Automatique,Diesel,citroen,c5,5,WW au Maroc,True,8,Très bon,4.406719247264253,26.02528521563173,17
centre ville,tétouan,Manuelle,Essence,renault,clio,5,WW au Maroc,False,7,Excellent,4.634728988229636,63.193974733159685,6
maarif,casablanca,Automatique,Diesel,mercedes-benz,classe e,3,WW au Maroc,True,8,Excellent,4.976733742420574,221.2359396118763,13
toute la ville,laâyoune,Manuelle,Essence,dacia,logan,5,WW au Maroc,False,6,Excellent,4.477336814478207,59.10096201692395,4
2 mars,casablanca,Automatique,Diesel,hyundai,tucson,5,WW au Maroc,True,7,Très bon,5.3471075307174685,148.14758171245185,8
toute la ville,khouribga,Automatique,Diesel,citroen,c5,5,WW au Maroc,True,8,Très bon,4.406719247264253,21.03957915956888,17
hay mohammadi,agadir,Manuelle,Diesel,audi,a3,5,Dédouanée,True,6,Très bon,5.075173815233827,174.3380157559094,12
toute la ville,berkane,Manuelle,Diesel,volkswagen,golf 4,5,Dédouanée,True,8,Très bon,4.31748811353631,325.191832016387,24
ain amiyer,fès,Manuelle,Diesel,renault,captur,5,WW au Maroc,False,6,Excellent,4.762173934797756,226.98674200036018,9
aïn chock,casablanca,Automatique,Diesel,citroen,c5,5,WW au Maroc,True,8,Bon,4.553876891600541,179.82329260698359,16
centre ville,tétouan,Manuelle,Diesel,hyundai,tucson,5,WW au Maroc,False,8,Très bon,4.499809670330265,195.61543949653668,16
toute la ville,sidi kacem,Manuelle,Essence,fiat,siena,5,Dédouanée,True,7,Très bon,3.4965075614664802,111.36714239834743,26
toute la ville,errachidia,Automatique,Diesel,land rover,freelander,5,Dédouanée,False,8,Excellent,4.867534450455582,195.75400922794796,13
agdal,rabat,Automatique,Diesel,audi,Others,5,WW au Maroc,False,8,Excellent,5.768320995793772,11.148981613154469,2
bouaakkaz,marrakech,Manuelle,Diesel,fiat,tipo,5,WW au Maroc,True,5,Excellent,4.762173934797756,86.30237199536685,5
anfa,casablanca,Automatique,Diesel,volkswagen,touareg,5,WW au Maroc,True,12,Excellent,5.3230099791384085,229.73561239263924,8
autre secteur,meknès,Manuelle,Diesel,dacia,duster,5,WW au Maroc,False,6,Neuf,5.272999558563747,16.705638821155972,1
autre secteur,skhirat,Manuelle,Diesel,volkswagen,passat,5,Dédouanée,True,8,Excellent,4.31748811353631,422.129674530364,22
aïn chock,casablanca,Manuelle,Essence,suzuki,Others,5,Dédouanée,True,6,Très bon,3.6888794541139363,276.2767623386798,26
anfa,casablanca,Manuelle,Diesel,dacia,sandero,5,Pas encore dédouanée,False,6,Excellent,4.653960350157523,125.2386264437398,9
toute la ville,guercif,Manuelle,Diesel,renault,kangoo,3,Dédouanée,False,7,Très bon,4.31748811353631,226.25792488074222,18
oued fès,fès,Manuelle,Diesel,mercedes-benz,classe c,5,Dédouanée,True,8,Excellent,4.499809670330265,275.3955321272053,21
anfa,casablanca,Manuelle,Diesel,ford,c-max,5,WW au Maroc,False,6,Excellent,5.075173815233827,229.60361219711837,9
al qods,casablanca,Automatique,Diesel,land rover,range rover evoque,5,WW au Maroc,False,8,Excellent,5.627621113690637,102.25984313334789,7
toute la ville,ben guerir,Manuelle,Essence,fiat,uno,5,WW au Maroc,True,7,Très bon,3.2188758248682006,223.82908410798734,21
hay el qods,oujda,Manuelle,Diesel,seat,Others,5,WW au Maroc,True,6,Excellent,4.700480365792417,187.2467498266036,11
aïn diab,casablanca,Automatique,Diesel,volvo,s60,5,WW au Maroc,True,8,Excellent,4.700480365792417,193.71402281866258,12
toute la ville,tan-tan,Manuelle,Essence,toyota,corolla,5,WW au Maroc,False,7,Excellent,4.499809670330265,33.7566302596876,19
ben souda,fès,Automatique,Diesel,volkswagen,golf 7,5,Dédouanée,False,12,Neuf,5.768320995793772,181.7399838300057,6
targa,marrakech,Automatique,Diesel,alfa romeo,stelvio,5,WW au Maroc,False,8,Très bon,5.3471075307174685,111.57740953393372,7
toute la ville,sidi slimane,Automatique,Diesel,hyundai,tucson,5,WW au Maroc,True,6,Bon,5.429345628954441,155.4770011414619,6
anfa,casablanca,Manuelle,Diesel,dacia,logan,5,WW au Maroc,True,6,Très bon,4.127134385045092,169.62180295238,12
autre secteur,mohammedia,Manuelle,Diesel,dacia,logan,5,WW au Maroc,True,7,Correct,4.204692619390966,325.52509456029964,13
guéliz,marrakech,Automatique,Diesel,land rover,range rover,5,WW au Maroc,True,8,Excellent,5.541263545158426,108.57789438024247,7
al qods,casablanca,Manuelle,Essence,toyota,c-hr,5,WW au Maroc,False,7,Très bon,4.867534450455582,16.30204652403744,5
Others,meknès,Manuelle,Diesel,citroen,berlingo,5,Dédouanée,False,7,Très bon,4.0943445622221,142.69504850820678,15
route de sefrou,fès,Manuelle,Diesel,toyota,starlet,3,WW au Maroc,True,4,Bon,3.5263605246161616,11.376959910892488,27
aakkari,rabat,Manuelle,Diesel,volkswagen,passat,5,Dédouanée,True,8,Bon,3.9512437185814275,29.013367355312763,24
sala el jadida,salé,Manuelle,Diesel,ford,fiesta,5,WW au Maroc,True,6,Très bon,4.77912349311153,137.05401207128304,7
hassan,rabat,Manuelle,Diesel,dacia,logan,5,WW au Maroc,True,6,Excellent,4.700480365792417,132.64214479768106,5
toute la ville,Others,Manuelle,Diesel,citroen,c4,5,Dédouanée,False,6,Bon,4.442651256490317,329.16356377525716,16
Others,kénitra,Manuelle,Essence,toyota,starlet,5,WW au Maroc,True,7,Excellent,3.367295829986474,4.1912014377729125,25
route d'immouzere,fès,Automatique,Diesel,peugeot,308,5,WW au Maroc,True,6,Excellent,5.10594547390058,148.64209424665427,9
diour jamaa,rabat,Manuelle,Diesel,volkswagen,jetta,5,Dédouanée,True,8,Bon,4.418840607796598,323.0913671152505,20
ben serguaou,agadir,Manuelle,Diesel,peugeot,208,5,WW au Maroc,True,6,Très bon,4.406719247264253,185.43572354644758,10
ain sebaa,casablanca,Automatique,Diesel,jaguar,xf,5,WW au Maroc,True,12,Très bon,4.787491742782046,272.7921091325892,13
toute la ville,berkane,Manuelle,Essence,kia,picanto,5,WW au Maroc,True,6,Bon,4.127134385045092,224.93893873434376,17
aïn chock,casablanca,Automatique,Diesel,dacia,duster,5,WW au Maroc,False,6,Très bon,5.153291594497779,31.031777573131507,5
hay hassani,casablanca,Automatique,Diesel,volkswagen,jetta,5,WW au Maroc,True,8,Excellent,4.976733742420574,157.2038626312843,8
aïn chock,casablanca,Manuelle,Essence,hyundai,i10,5,WW au Maroc,False,6,Très bon,3.8066624897703196,277.8361444065627,13
centre ville,tanger,Automatique,Diesel,volkswagen,tiguan,5,Dédouanée,False,8,Excellent,5.501258210544727,376.95725729102713,13
guich oudaya,rabat,Manuelle,Diesel,renault,express,5,WW au Maroc,True,6,Très bon,5.062595033026967,66.39686913179904,3
ain sebaa,casablanca,Manuelle,Diesel,renault,kangoo,5,WW au Maroc,True,6,Excellent,4.882801922586371,197.19290753265312,7
hay massira,marrakech,Manuelle,Diesel,dacia,dokker,5,WW au Maroc,True,6,Excellent,4.8283137373023015,171.6038085685878,6
el youssoufia,rabat,Automatique,Diesel,mercedes-benz,220,5,Dédouanée,True,9,Très bon,5.0106352940962555,25.0903447138757,17
beauséjour,casablanca,Manuelle,Diesel,citroen,berlingo,5,WW au Maroc,True,6,Très bon,4.700480365792417,158.5236770429512,9
almaz,casablanca,Automatique,Diesel,audi,a3,5,WW au Maroc,True,6,Excellent,5.19295685089021,141.25048665111976,10
marjane 2,meknès,Manuelle,Diesel,fiat,uno,5,Dédouanée,True,6,Bon,3.1354942159291497,7.065150698349594,28
toute la ville,essaouira,Automatique,Diesel,mercedes-benz,classe c,5,Dédouanée,True,8,Très bon,5.062595033026967,220.64901587253362,15
aïn chock,casablanca,Manuelle,Diesel,dacia,logan,5,WW au Maroc,False,6,Excellent,4.990432586778736,77.74617891058566,3
massira 3,temara,Manuelle,Diesel,renault,clio,5,WW au Maroc,True,6,Excellent,4.634728988229636,173.02782808335908,7
toute la ville,laâyoune,Automatique,Diesel,volkswagen,passat cc,5,WW au Maroc,True,8,Bon,4.5217885770490405,22.71086846296672,16
bab fès,kénitra,Manuelle,Essence,renault,clio,5,WW au Maroc,False,7,Bon,3.871201010907891,7.658813846497918,21
oulfa,casablanca,Automatique,Diesel,volkswagen,passat,5,WW au Maroc,False,8,Très bon,5.247024072160486,148.63894330161082,7
sidi bouzekri,meknès,Manuelle,Diesel,peugeot,207,5,WW au Maroc,True,6,Très bon,4.382026634673881,18.786426366788298,17
toute la ville,ben guerir,Manuelle,Diesel,renault,fluence,5,Dédouanée,True,6,Très bon,4.68213122712422,3.9432865761164955,13
toute la ville,larache,Manuelle,Diesel,fiat,tipo,5,WW au Maroc,False,5,Excellent,4.736198448394496,103.91652403626962,6
toute la ville,sefrou,Manuelle,Diesel,renault,kangoo,5,WW au Maroc,True,6,Très bon,4.0943445622221,371.2727291548039,24
2 mars,casablanca,Manuelle,Diesel,renault,express,5,WW au Maroc,False,6,Très bon,4.976733742420574,59.22270728025023,3
beauséjour,casablanca,Manuelle,Essence,peugeot,206,5,WW au Maroc,True,6,Excellent,4.174387269895637,58.388087948530845,12
centre ville,oujda,Manuelle,Essence,chery,Others,5,WW au Maroc,False,6,Pour Pièces,2.995732273553991,11.475143245756922,17
centre ville,temara,Automatique,Diesel,volkswagen,tiguan,5,WW au Maroc,False,8,Très bon,5.736572297479192,185.45132820070077,6
hay nahda,rabat,Manuelle,Essence,Others,Others,3,WW au Maroc,False,6,Excellent,4.418840607796598,2.8599549712453527,1
centre ville,agadir,Manuelle,Diesel,peugeot,206,5,WW au Maroc,True,7,Très bon,3.9512437185814275,226.1511324076761,22
ahlane,tanger,Manuelle,Diesel,mercedes-benz,220,5,Dédouanée,False,6,Très bon,4.605170185988092,224.95829140177295,16
achakar,tanger,Manuelle,Diesel,Others,Others,5,WW au Maroc,False,9,Bon,4.0943445622221,154.95775835950363,17
mimosas,mohammedia,Manuelle,Diesel,ford,transit,5,WW au Maroc,True,9,Bon,4.007333185232471,227.4647612132993,28
ain atig,temara,Manuelle,Diesel,alfa romeo,Others,3,WW au Maroc,True,6,Excellent,4.605170185988092,151.0614396144836,15
toute la ville,berkane,Manuelle,Diesel,citroen,berlingo,5,WW au Maroc,True,6,Excellent,5.300814246746624,53.18974313926237,6
centre ville,temara,Automatique,Essence,fiat,500,3,WW au Maroc,False,7,Très bon,4.787491742782046,98.376191763897,7
agdal,rabat,Automatique,Hybride,toyota,c-hr,5,WW au Maroc,False,8,Excellent,5.5254529391317835,30.189665551913606,3
al fida,casablanca,Manuelle,Diesel,seat,leon,5,Dédouanée,True,8,Très bon,5.521460917862246,123.89921087374249,5
agdal,rabat,Automatique,Diesel,audi,a3,5,WW au Maroc,True,6,Très bon,4.74493212836325,321.1724037209247,14
agdal,marrakech,Manuelle,Diesel,opel,astra,5,WW au Maroc,False,8,Très bon,4.867534450455582,172.94459160859762,9
Others,oujda,Manuelle,Essence,renault,19,3,Dédouanée,False,8,Bon,3.4011973816621555,106.98819654469142,29
sidi moumen,casablanca,Manuelle,Diesel,renault,megane,5,WW au Maroc,False,6,Excellent,3.8501476017100584,27.07000079130826,24
ain sebaa,casablanca,Manuelle,Diesel,peugeot,208,5,WW au Maroc,False,6,Excellent,5.0369526024136295,10.977837607060657,3
oulfa,casablanca,Manuelle,Diesel,fiat,tipo,5,WW au Maroc,True,5,Excellent,4.770684624465665,108.39644641084517,3
toute la ville,settat,Manuelle,Diesel,hyundai,ix35,5,WW au Maroc,False,8,Excellent,4.700480365792417,275.92609797366356,15
hay riad,rabat,Manuelle,Diesel,seat,leon,5,WW au Maroc,True,6,Excellent,5.043425116919247,80.71714171824067,7
Others,agadir,Manuelle,Diesel,renault,kangoo,5,WW au Maroc,True,7,Très bon,4.248495242049359,229.85504774608577,17
