Secteur,Ville,Boite de vitesses,Type de carburant,Marque,Modele,Nombre de portes,Origine,Premiere main,Puissance fiscale,Etat,log_price (en milliers MAD),Kilometrage lisse (en milliers km),Age (annees)
ouled oujih,kénitra,Manuelle,Diesel,fiat,punto,5,WW au Maroc,False,6,Très bon,4.04305126783455,170.24451707023647,17
toute la ville,errachidia,Manuelle,Diesel,citroen,Others,5,WW au Maroc,True,6,Excellent,4.31748811353631,26.076330652833946,11
Others,safi,Manuelle,Essence,skoda,fabia,5,WW au Maroc,True,6,Excellent,4.48863636973214,166.64064951182843,8
la ville haute,kénitra,Manuelle,Diesel,hyundai,elantra,5,WW au Maroc,True,6,Très bon,5.030437921392435,113.2124949392421,7
hay zaytoun,agadir,Manuelle,Diesel,peugeot,208,5,WW au Maroc,True,6,Bon,4.553876891600541,192.62780860953254,11
centre ville,mohammedia,Automatique,Essence,fiat,500x,5,WW au Maroc,False,8,Excellent,5.438079308923196,11.354055490254009,3
hay zaytoun,agadir,Manuelle,Essence,dacia,logan,5,WW au Maroc,False,6,Très bon,4.74493212836325,68.26792873514523,2
bourgogne,casablanca,Manuelle,Diesel,Others,Others,5,WW au Maroc,False,5,Excellent,4.624972813284271,17.94315663281583,1
californie,casablanca,Automatique,Diesel,mercedes-benz,classe a,5,Dédouanée,False,7,Très bon,5.147494476813453,193.25619970177357,12
sidi bernoussi,casablanca,Manuelle,Diesel,toyota,corolla verso,5,WW au Maroc,True,8,Correct,4.174387269895637,220.5611161050155,20
hay zaytoun,agadir,Manuelle,Essence,peugeot,206,5,WW au Maroc,True,6,Bon,4.060443010546419,196.9044120791158,15
toute la ville,taza,Automatique,Essence,porsche,Others,5,WW au Maroc,True,32,Très bon,5.0106352940962555,194.10371418474037,14
abattoirs,agadir,Automatique,Diesel,volkswagen,golf 7,5,WW au Maroc,True,8,Excellent,5.393627546352362,115.8177801085812,5
toute la ville,khouribga,Manuelle,Diesel,renault,kangoo,5,WW au Maroc,False,7,Excellent,4.251348311031766,21.62612459489882,0
administratif,tanger,Manuelle,Diesel,skoda,octavia,5,WW au Maroc,False,8,Très bon,4.844187086458591,270.21847853405814,13
hay hassani,tanger,Manuelle,Diesel,renault,express,5,WW au Maroc,False,6,Excellent,5.1647859739235145,45.69276532178249,4
Others,casablanca,Automatique,Diesel,ford,focus,5,WW au Maroc,False,6,Excellent,5.3706380281276624,76.20759141681926,2
centre ville,tanger,Manuelle,Diesel,renault,megane,5,WW au Maroc,False,6,Excellent,5.0689042022202315,144.03609102013164,6
riad oulad mtaa,temara,Manuelle,Diesel,mercedes-benz,Others,5,Dédouanée,True,9,Excellent,5.135798437050262,329.04210174391415,11
médina de rabat,rabat,Manuelle,Essence,citroen,c1,5,WW au Maroc,True,5,Excellent,4.0943445622221,191.47996271059236,12
administratif,tanger,Automatique,Diesel,bmw,x1,5,WW au Maroc,False,8,Excellent,5.19295685089021,227.12467018210143,11
toute la ville,béni mellal,Automatique,Diesel,land rover,range rover sport,5,WW au Maroc,False,12,Très bon,5.68697535633982,321.102476857019,9
corniche,mohammedia,Automatique,Diesel,volkswagen,coccinelle,3,WW au Maroc,False,8,Excellent,5.459585514144159,33.6308874609956,2
aïn borja,casablanca,Manuelle,Diesel,alfa romeo,giulietta,5,WW au Maroc,False,8,Excellent,4.553876891600541,167.42949426815346,12
centre ville,tanger,Manuelle,Diesel,volkswagen,golf 4,5,Dédouanée,False,8,Très bon,4.418840607796598,320.1656302612438,24
hay zaytoun,agadir,Manuelle,Diesel,dacia,logan,5,WW au Maroc,True,6,Bon,4.465908118654584,196.0250969780525,11
hay karima,salé,Manuelle,Diesel,nissan,qashqai,5,WW au Maroc,True,6,Très bon,5.247024072160486,123.75159871655434,8
aïn chock,casablanca,Automatique,Diesel,mercedes-benz,classe c,5,Importée neuve,True,9,Excellent,4.955827057601261,221.12897904190507,15
centre ville,tanger,Automatique,Diesel,renault,megane,5,WW au Maroc,False,6,Excellent,5.123963979403259,140.19037458513026,6
ahlane,tanger,Automatique,Diesel,seat,leon,3,Importée neuve,True,8,Excellent,5.288267030694535,164.03819781699931,10
californie,casablanca,Manuelle,Essence,kia,picanto,5,WW au Maroc,False,6,Excellent,4.8283137373023015,7.904656491212882,1
al hadiqa,fès,Automatique,Diesel,audi,a3,5,WW au Maroc,True,6,Très bon,5.135798437050262,186.1697199066284,11
2 mars,casablanca,Manuelle,Diesel,renault,megane,5,WW au Maroc,False,6,Très bon,4.787491742782046,116.65010624651805,13
tanger city center,tanger,Manuelle,Diesel,volkswagen,golf 4,5,Dédouanée,False,8,Très bon,4.406719247264253,275.23304135015053,24
haut-founty,agadir,Automatique,Diesel,mercedes-benz,classe c,3,Importée neuve,True,9,Excellent,5.10594547390058,160.11157001038853,14
bournazil,casablanca,Manuelle,Diesel,dacia,lodgy,5,WW au Maroc,False,6,Excellent,5.030437921392435,61.59379521878829,4
anfa,casablanca,Automatique,Diesel,audi,a6,5,WW au Maroc,True,8,Excellent,5.783825182329737,194.3520460725111,5
abdelmoumen,casablanca,Manuelle,Diesel,citroen,c-elysée,5,WW au Maroc,False,6,Excellent,4.605170185988092,118.2995552825377,6
errahma,casablanca,Manuelle,Diesel,citroen,c3,5,WW au Maroc,True,6,Excellent,4.859812404361672,157.38403305256045,4
aïn chock,casablanca,Automatique,Diesel,renault,clio,5,WW au Maroc,False,6,Excellent,4.844187086458591,101.13589225190562,10
hay riad,rabat,Automatique,Hybride,kia,Others,5,WW au Maroc,True,11,Bon,5.752572638825633,94.03242628774503,3
autre secteur,casablanca,Automatique,Diesel,ford,fusion,5,WW au Maroc,False,8,Bon,5.123963979403259,117.3102723035622,9
autre secteur,casablanca,Automatique,Hybride,hyundai,Others,5,WW au Maroc,True,6,Bon,5.3706380281276624,17.18988051978038,2
route de tamansourt,marrakech,Manuelle,Diesel,dacia,sandero,5,WW au Maroc,False,6,Excellent,4.867534450455582,63.51377037237236,5
toute la ville,béni mellal,Manuelle,Diesel,ford,fiesta,5,WW au Maroc,True,6,Excellent,4.867534450455582,21.26418918644346,9
