Age (annees),Modele,Marque,Boite de vitesses_Manuelle,Puissance fiscale,Type de carburant_Essence,Kilometrage lisse (en milliers km),Type de carburant_Diesel,Secteur,Origine_WW au Maroc,Ville,Origine_Dédouanée,Premiere main,Etat_Bon,Boite de vitesses_Automatique,Etat_Excellent,log_price (en milliers MAD)
-1.3390189839020086,5.040615903828165,4.734352559907896,1,-0.6380111495352139,0,-0.7564319098547068,1,4.748178406163527,1,4.635537059211119,0,0,0,0,1,5.220355825078324
-0.5230295993484363,4.681846316183633,4.719845400015375,1,-0.6380111495352139,0,-0.07797147519601803,1,4.522030994218695,1,4.659247304141797,0,0,0,0,0,5.0369526024136295
-1.3390189839020086,5.040615903828165,4.734352559907896,1,-0.6380111495352139,0,-1.1026659051599481,1,4.4805253029649705,1,4.643647840805379,0,1,0,0,1,5.220355825078324
0.42895801596406447,4.389078963284913,4.74741534518338,1,0.38858333602016065,0,0.5758962726606036,1,4.651479856491451,1,4.661731097340111,0,1,1,0,0,4.174387269895637
1.7889403235533514,3.4398901826957995,4.079777420414323,1,-0.1247139067575266,0,-0.3772680202261275,1,4.380251438978369,1,4.707137225888498,0,0,0,0,0,3.218875824868201
0.42895801596406447,4.4415541890822485,4.77544262941957,0,2.4417723071309094,0,1.3996299478614618,1,4.522030994218695,0,4.707137225888498,1,0,0,1,0,4.174387269895637
-0.38703136858950765,3.950309688343859,4.412279971877899,1,-0.1247139067575266,0,-0.1617277172859108,1,4.522030994218695,1,4.707137225888498,0,0,0,0,0,3.80666248977032
1.6529420927944227,4.4415541890822485,4.74741534518338,1,-0.6380111495352139,0,-1.37019892592396,1,4.416532674715777,1,4.236289166930331,0,1,1,0,0,3.4011973816621555
-0.659027830107365,4.472333660790272,4.079777420414323,1,-1.151308392312901,0,0.410593029982765,1,4.63772884925347,1,4.5684223761397424,0,1,0,0,1,4.248495242049359
-0.5230295993484363,4.743299704081827,4.663296083365492,1,-0.6380111495352139,0,0.44116279305350165,1,4.522030994218695,1,4.524600496381784,0,1,0,0,0,4.672828834461906
0.5649562467229932,4.675952571772097,4.615762594483596,1,0.38858333602016065,0,1.338810130288321,1,4.416239608650241,1,4.707137225888498,0,1,1,0,0,4.382026634673881
0.42895801596406447,4.947165481102904,4.719845400015375,0,0.9018805787978479,0,1.918583721398838,1,4.748178406163527,1,4.568764864855925,0,1,1,1,0,4.927253685157205
-0.9310242916252224,4.672515355688066,4.079777420414323,1,-1.151308392312901,0,-0.9135121439202091,1,4.602983896831226,1,4.5684223761397424,0,0,0,0,1,4.700480365792417
-0.9310242916252224,5.433812608602013,4.719845400015375,0,0.9018805787978479,0,0.15097025425876512,1,4.63772884925347,1,4.771250897851179,0,0,0,1,0,5.736572297479192
-1.2030207531430799,4.427229778214584,4.663296083365492,1,-0.6380111495352139,0,-0.7577980197957761,1,4.866398406945406,1,4.771250897851179,0,0,0,0,1,4.812184355372417
0.1569615544462071,3.9551259867085613,3.872877224866123,1,-1.151308392312901,1,0.5420369816837245,0,4.787887572764268,1,4.707137225888498,0,1,0,0,0,3.9318256327243257
1.516943862035494,4.890944015565421,4.807797067671875,1,0.9018805787978479,1,0.3924368793624188,0,4.624461291888696,1,4.643647840805379,0,1,0,0,1,4.143134726391533
0.29295978520513577,4.721787586548051,4.719845400015375,1,0.38858333602016065,0,1.415107086924945,1,4.63772884925347,0,4.524600496381784,1,1,0,0,0,4.976733742420574
0.8369527082408506,4.5100650864678995,4.615762594483596,1,0.38858333602016065,0,0.83038216395786,1,4.573769579417952,1,4.5684223761397424,0,1,0,0,0,4.04305126783455
-0.9310242916252224,5.02733780848751,4.615762594483596,1,1.415177821575535,0,0.8801026996622314,1,4.604229205140237,1,4.659247304141797,0,0,0,0,1,5.5093883366279774
0.8369527082408506,4.563817933764799,4.77544262941957,1,-0.6380111495352139,0,-0.32002309401797324,1,4.416532674715777,1,4.509054344410446,0,1,0,0,0,4.02535169073515
0.7009544774819219,3.994718379648237,4.412279971877899,1,-0.6380111495352139,0,2.9543946440026168,1,4.737102714091331,0,4.771250897851179,1,0,1,0,0,3.970291913552122
-1.3390189839020086,5.136296280871435,4.079777420414323,0,0.38858333602016065,1,-1.3883238857552118,0,4.741407010115598,1,4.5610434286562755,0,0,0,1,1,5.438079308923196
