Age (annees),Modele,Marque,Boite de vitesses_Manuelle,Puissance fiscale,Type de carburant_Essence,Kilometrage lisse (en milliers km),Type de carburant_Diesel,Secteur,Origine_WW au Maroc,Ville,Origine_Dédouanée,Premiere main,Etat_Bon,Boite de vitesses_Automatique,Etat_Excellent,log_price (en milliers MAD)
-0.659027830107365,golf 7,volkswagen,0,-0.1247139067575266,0,-1.4477110415540158,1,route ain chkaf,1,fès,0,0,0,1,0,5.117993812416755
0.5649562467229932,megane,renault,1,0.9018805787978479,1,1.951974982779766,0,hay karima,1,salé,0,1,0,0,0,3.828641396489095
-0.38703136858950765,macan,porsche,0,2.4417723071309094,0,0.8148610201420671,1,anfa,1,casablanca,0,0,0,1,1,5.752572638825633
-0.9310242916252224,clio,renault,1,-0.6380111495352139,0,-0.38577858904312345,1,bir rami,1,kénitra,0,1,1,0,0,4.700480365792417
-0.38703136858950765,classe c,mercedes-benz,0,-0.1247139067575266,0,0.12436355951134749,1,centre ville,0,tanger,0,0,0,1,0,5.541263545158426
-1.3390189839020086,sandero,dacia,1,-0.6380111495352139,0,-0.39615310652328706,1,route de sefrou,1,fès,0,0,0,0,1,5.010635294096256
-0.38703136858950765,dokker,dacia,1,-0.6380111495352139,0,0.1535638404121464,1,toute la ville,1,tit mellil,0,0,0,0,0,4.700480365792417
-1.2030207531430799,accent,hyundai,1,-0.6380111495352139,0,-0.8590294150659968,1,toute la ville,1,Others,0,1,0,0,1,5.075173815233827
2.060936785071209,c15,citroen,1,-0.1247139067575266,0,-0.8472976572581512,1,toute la ville,1,taroudant,0,1,1,0,0,3.295836866004329
-0.7950260608662937,série 2,bmw,0,0.38858333602016065,0,-0.016821367347997718,1,californie,1,casablanca,0,0,0,1,1,5.438079308923196
-1.3390189839020086,sandero,dacia,1,-0.6380111495352139,0,-0.23980844759855924,1,ain sebaa,1,casablanca,0,0,0,0,1,4.74493212836325
-0.25103313783057896,ix35,hyundai,1,-0.1247139067575266,0,1.3339891226765026,1,centre ville,1,tanger,0,0,0,0,0,4.941642422609304
-0.9310242916252224,duster,dacia,1,-0.6380111495352139,0,0.13323969313039338,1,autre secteur,1,agadir,0,0,0,0,1,5.123963979403259
0.29295978520513577,Others,ssangyong,1,0.38858333602016065,0,0.48546675029318975,1,allal el fassi,0,marrakech,1,1,1,0,0,3.912023005428146
0.1569615544462071,megane,renault,1,0.9018805787978479,1,-0.904228338416142,0,hay massira,1,agadir,0,1,0,0,0,4.442651256490317
-0.9310242916252224,yaris,toyota,1,-0.6380111495352139,1,-0.9888778448974886,0,hay dakhla,1,agadir,0,1,0,0,1,4.787491742782046
0.5649562467229932,auris,toyota,1,0.38858333602016065,1,0.4398561782948233,0,guich oudaya,1,rabat,0,0,0,0,1,4.31748811353631
0.8369527082408506,x3,bmw,0,2.4417723071309094,0,0.16794839953564228,1,oasis,1,casablanca,0,1,1,1,0,4.442651256490317
-0.659027830107365,xe,jaguar,0,0.38858333602016065,0,-0.751352141982404,1,centre,1,tanger,0,0,0,1,0,5.472270673671475
0.8369527082408506,307,peugeot,1,-0.6380111495352139,0,0.8947366320679754,1,toute la ville,1,tiznit,0,1,0,0,0,4.174371885161908
-0.5230295993484363,3008,peugeot,1,-0.6380111495352139,0,-0.08640233412433451,1,sidi maarouf,1,casablanca,0,0,0,0,1,4.976733742420574
-0.7950260608662937,crossland,opel,1,-0.6380111495352139,0,0.0923502084334754,1,tanja balia,1,tanger,0,0,0,0,1,4.962844630259907
-1.0670225223841512,dokker,dacia,1,-0.6380111495352139,0,-0.3448505563029862,1,cité adrar,1,agadir,0,0,0,0,0,5.062595033026967
0.5649562467229932,ibiza,seat,1,-0.1247139067575266,1,-0.5903010909429807,0,centre ville,1,tétouan,0,1,0,0,1,4.219507705176107
-0.11503490707165027,berlingo,citroen,1,-0.6380111495352139,0,0.8188894208930299,1,safir,0,tétouan,0,1,1,0,0,4.8283137373023015
-0.25103313783057896,500,fiat,0,-1.6646056350905882,1,-1.2207669472069365,0,massira 1,1,marrakech,0,1,0,1,1,4.553876891600541
1.2449474005176366,307,peugeot,1,-0.6380111495352139,0,1.4184031700927047,1,centre ville,1,mohammedia,0,0,0,0,0,4.04305126783455
-0.38703136858950765,focus,ford,1,-0.6380111495352139,0,0.8988716284715172,1,toute la ville,1,missour,0,1,0,0,1,4.882801922586371
-0.11503490707165027,hilux,toyota,1,1.415177821575535,0,-1.2421624008708045,1,toute la ville,1,errachidia,0,1,0,0,1,5.634789603169249
-0.9310242916252224,focus,ford,1,-0.6380111495352139,0,-0.3691685237660045,1,sbata,1,casablanca,0,1,0,0,1,5.056245805348308
0.8369527082408506,kangoo,renault,1,-0.1247139067575266,0,2.398215753605401,1,toute la ville,1,guelmim,0,1,0,0,0,4.248495242049359
0.020963323687278417,range rover evoque,land rover,0,0.38858333602016065,0,0.3060677965320274,1,fès médina,1,fès,0,1,0,1,0,5.209486152841421
-0.11503490707165027,cooper,mini,0,-0.6380111495352139,1,-0.498650487970572,0,oulfa,1,casablanca,0,0,0,1,0,4.74493212836325
-1.3390189839020086,accent,hyundai,0,-0.6380111495352139,0,-0.33882577757491444,1,hay targa,1,marrakech,0,0,0,1,1,5.10594547390058
